facility_id,facility_name,basin,city,state,zip_code,primary_naics_code,industry_type_subpart,total_emissions_2020,total_emissions_2019,total_emissions_2018,total_emissions_2017,total_emissions_2016,total_emissions_2015,total_emissions_2014,total_emissions_2013,total_emissions_2012,total_emissions_2011
1010157,BREITBURN OPERATING LP-BASIN 535,535 - Green River Basin,GREEN RIVER,WY,82935,211120,W-ONSH,52411.544,71346.686,89424.234,97116.486,98775.988,116397.484,124203.79,148539.888,212090.186,232207.286
1008576,Basin 220 South TX & South LA - OSP,"220 - Gulf Coast Basin (LA, TX)",Dallas,TX,75201,211120,W-ONSH,607.15,639.7,600.1,31726.612,66263.3,32984.404,33278.132,49736.578,78287.61,28703.172
1008270,Basin 540 Denver Julesburg - Noble Energy Inc.,540 - Denver Basin,Houston,TX,77070,211130,W-ONSH,380154.532,536242.656,573001.696,683248.998,375558.852,644986.896,698674.04,846216.626,663919.954,539847.946
1008165,Berry Petroleum Company 585 Piceance Basin Production Segment,595 - Piceance Basin,Bakersfield,CA,93309,211130,W-ONSH,43180.248,45001.744,45317.644,41394.35,47900.548,66872.24,62688.048,96831.95,67200.65,92282.154
1009813,Breitburn Operating LP 430 Permian,430 - Permian Basin,Houston,TX,77010,211120,W-ONSH,2485.848,11510.844,35636.194,85200.686,85646.332,89042.086,92553.476,60712.566,67465.25,58831.85
1010784,"Burnett Oil Co., Inc. 430 Permian Basin",430 - Permian Basin,Fort Worth,TX,76102,211120,W-ONSH,13360.504,24764.738,26682.888,16408.718,19421.964,63265.308,23394.69,179520.452,58259.028,58040.578
1008784,CNX Gas Company LLC -160 Appalachian Basin,160 - Appalachian Basin,Canonsburg,PA,15317,211130,W-ONSH,214.0,262.85,218.0,33282.746,39729.834,49992.82,182479.75,191224.79,42087.916,135100.55
1008783,CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,160A - Appalachian Basin (Eastern Overthrust Area),Canonsburg,PA,15317,211130,W-ONSH,230367.524,232165.932,216589.412,767658.24,565948.578,593175.378,366037.25,987228.766,373273.746,416004.806
1009707,COG Operating LLC  430 Permian Basin,430 - Permian Basin,Midland,TX,79701,211120,W-ONSH,1250032.472,1409171.27,1403345.644,1231787.596,2443822.828,1939559.5,375722.35,286073.4,289382.4,242592.2
1008472,CRI 360 Anadarko,360 - Anadarko Basin,Oklahoma City,OK,73102,211120,W-ONSH,450823.622,642824.16,897296.712,748677.076,679611.114,375363.734,299647.706,163185.986,289958.222,455978.634
